id,name,description,estimated_duration,price,is_active
1,AC Repair,Professional AC Repair service including parts replacement. Quality parts and expert workmanship guaranteed.,60,2419.21,1
2,Battery Replacement,Professional Battery Replacement service including parts replacement. Quality parts and expert workmanship guaranteed.,30,2445.48,1
3,Brake Service,Professional Brake Service service including parts replacement. Quality parts and expert workmanship guaranteed.,90,3036.4,1
4,Clutch Replacement,Professional Clutch Replacement service including parts replacement. Quality parts and expert workmanship guaranteed.,60,2430.38,1
5,Engine Repair,Professional Engine Repair service including parts replacement. Quality parts and expert workmanship guaranteed.,240,2590.38,1
6,Fuel System Repair,Professional Fuel System Repair service including parts replacement. Quality parts and expert workmanship guaranteed.,60,2642.38,1
7,Suspension Repair,Professional Suspension Repair service including parts replacement. Quality parts and expert workmanship guaranteed.,120,2292.01,1
8,Tire Replacement,Professional Tire Replacement service including parts replacement. Quality parts and expert workmanship guaranteed.,45,2422.88,1
9,Transmission Repair,Professional Transmission Repair service including parts replacement. Quality parts and expert workmanship guaranteed.,240,2373.38,1
10,Oil Change,Standard oil change with filter replacement and fluid top-off,30,29.99,1
